TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
98,9,46,44,0,0.5353535353535354,0.4888888888888889,1.0,0.16363636363636364,4.0
99,9,46,44,0,0.5353535353535354,0.4888888888888889,1.0,0.16363636363636364,4.0
100,8,53,37,0,0.45918367346938777,0.4111111111111111,1.0,0.13114754098360656,4.0
101,6,56,34,0,0.4166666666666667,0.37777777777777777,1.0,0.0967741935483871,4.0
102,6,60,30,0,0.375,0.3333333333333333,1.0,0.09090909090909091,4.0
103,6,59,31,0,0.3854166666666667,0.34444444444444444,1.0,0.09230769230769231,4.0
104,6,61,29,0,0.3645833333333333,0.32222222222222224,1.0,0.08955223880597014,4.0
105,6,63,27,0,0.34375,0.3,1.0,0.08695652173913043,4.0
106,6,53,37,0,0.4479166666666667,0.4111111111111111,1.0,0.1016949152542373,4.0
107,5,48,42,1,0.4895833333333333,0.4666666666666667,0.8333333333333334,0.09433962264150944,3.3333333333333335
108,5,50,40,1,0.46875,0.4444444444444444,0.8333333333333334,0.09090909090909091,3.3333333333333335
109,5,50,40,1,0.46875,0.4444444444444444,0.8333333333333334,0.09090909090909091,3.3333333333333335
110,5,51,39,1,0.4583333333333333,0.43333333333333335,0.8333333333333334,0.08928571428571429,3.333333333333333
111,6,38,52,0,0.6041666666666666,0.5777777777777777,1.0,0.13636363636363635,4.0
112,6,39,51,0,0.59375,0.5666666666666667,1.0,0.13333333333333333,4.0
113,6,40,50,0,0.5833333333333334,0.5555555555555556,1.0,0.13043478260869565,4.0
114,6,35,55,0,0.6354166666666666,0.6111111111111112,1.0,0.14634146341463414,4.0
115,6,35,55,0,0.6354166666666666,0.6111111111111112,1.0,0.14634146341463414,4.0
116,6,28,62,0,0.7083333333333334,0.6888888888888889,1.0,0.17647058823529413,4.0
117,6,28,62,0,0.7083333333333334,0.6888888888888889,1.0,0.17647058823529413,4.0
118,5,26,64,0,0.7263157894736842,0.7111111111111111,1.0,0.16129032258064516,4.0
119,5,24,66,0,0.7473684210526316,0.7333333333333333,1.0,0.1724137931034483,4.0
120,5,24,66,0,0.7473684210526316,0.7333333333333333,1.0,0.1724137931034483,4.0
121,5,12,78,0,0.8736842105263158,0.8666666666666667,1.0,0.29411764705882354,4.0
122,5,13,77,0,0.8631578947368421,0.8555555555555555,1.0,0.2777777777777778,4.0
123,5,16,74,0,0.8315789473684211,0.8222222222222222,1.0,0.23809523809523808,4.0
124,4,16,74,0,0.8297872340425532,0.8222222222222222,1.0,0.2,4.0
125,4,15,75,0,0.8404255319148937,0.8333333333333334,1.0,0.21052631578947367,4.0
126,3,9,81,1,0.8936170212765957,0.9,0.75,0.25,3.0
127,3,9,81,1,0.8936170212765957,0.9,0.75,0.25,3.0
128,3,9,81,1,0.8936170212765957,0.9,0.75,0.25,3.0
129,4,10,80,0,0.8936170212765957,0.8888888888888888,1.0,0.2857142857142857,4.0
130,4,10,80,0,0.8936170212765957,0.8888888888888888,1.0,0.2857142857142857,4.0
131,4,4,86,0,0.9574468085106383,0.9555555555555556,1.0,0.5,4.0
132,4,4,86,0,0.9574468085106383,0.9555555555555556,1.0,0.5,4.0
133,4,4,86,0,0.9574468085106383,0.9555555555555556,1.0,0.5,4.0
134,4,4,86,0,0.9574468085106383,0.9555555555555556,1.0,0.5,4.0
135,4,4,86,0,0.9574468085106383,0.9555555555555556,1.0,0.5,4.0
136,4,5,85,0,0.9468085106382979,0.9444444444444444,1.0,0.4444444444444444,4.0
137,4,5,85,0,0.9468085106382979,0.9444444444444444,1.0,0.4444444444444444,4.0
138,4,5,85,0,0.9468085106382979,0.9444444444444444,1.0,0.4444444444444444,4.0
139,4,5,85,0,0.9468085106382979,0.9444444444444444,1.0,0.4444444444444444,4.0
140,4,4,86,0,0.9574468085106383,0.9555555555555556,1.0,0.5,4.0
141,4,1,89,0,0.9893617021276596,0.9888888888888889,1.0,0.8,4.0
142,4,1,89,0,0.9893617021276596,0.9888888888888889,1.0,0.8,4.0
143,3,1,89,0,0.989247311827957,0.9888888888888889,1.0,0.75,4.0
144,2,1,89,0,0.9891304347826086,0.9888888888888889,1.0,0.6666666666666666,4.0
145,2,1,89,0,0.9891304347826086,0.9888888888888889,1.0,0.6666666666666666,4.0
146,2,1,89,0,0.9891304347826086,0.9888888888888889,1.0,0.6666666666666666,4.0
147,2,0,90,0,1.0,1.0,1.0,1.0,4.0
148,2,1,89,0,0.9891304347826086,0.9888888888888889,1.0,0.6666666666666666,4.0
149,2,1,89,0,0.9891304347826086,0.9888888888888889,1.0,0.6666666666666666,4.0
150,2,1,89,0,0.9891304347826086,0.9888888888888889,1.0,0.6666666666666666,4.0
