0,player,nodes,knowledge,controller,percent
22.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;0;0;2;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-40.000000;-92.000000;-96.000000;-100.000000;-100.000000]
23.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;0.000000;100.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
23.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;1;0;2;2;1;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;80.000000;0.000000;-56.000000;-100.000000;-96.000000;-100.000000;-100.000000]
24.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;0.000000;100.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
24.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;1;0;0;2;1;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;80.000000;0.000000;0.000000;-100.000000;-96.000000;-100.000000;-100.000000]
25.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;0.000000;100.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
25.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;1;0;1;0;0;2;1;2;2],[-1;-1;-1;-1;-1;-1;-1;1;-1;1;1],[0.000000;0.000000;0.000000;0.000000;80.000000;0.000000;0.000000;-100.000000;-96.000000;-100.000000;-100.000000]
26.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-8.000000;100.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
26.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;0;2;0;1;0;0;2;2;2;2],[-1;-1;-1;-1;-1;-1;-1;1;1;1;1],[0.000000;0.000000;-8.000000;0.000000;80.000000;0.000000;0.000000;-100.000000;-100.000000;-100.000000;-100.000000]
27.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;1;2;1;0;0;0;0;0;2],[0;0;-1;0;-1;-1;-1;-1;-1;-1;1],[100.000000;100.000000;-8.000000;100.000000;80.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
