numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
150.000000,1,1766,1386,34.000000,1,1,1,0
150.000000,1,412,2485,29.000000,0,1,-1,1
150.000000,1,1723,1477,45.000000,0,1,-1,0
150.000000,1,1549,1849,36.000000,0,1,-1,1
150.000000,1,1013,716,27.000000,0,1,-1,0
150.000000,1,798,1745,28.000000,1,1,1,1
150.000000,1,2641,82,43.000000,1,1,1,0
150.000000,1,1450,1616,49.000000,0,2,-2,1
150.000000,1,1026,597,31.000000,0,1,-1,0
150.000000,1,1846,696,29.000000,0,1,-1,0
150.000000,1,952,1402,38.000000,1,3,3,1
150.000000,1,1416,855,25.000000,1,1,1,0
150.000000,1,1559,655,28.000000,0,1,-1,0
150.000000,1,1869,1442,26.000000,0,1,-1,0
150.000000,1,623,992,41.000000,0,3,-3,1
150.000000,1,1174,858,36.000000,0,1,-1,0
150.000000,1,1750,911,38.000000,1,1,1,0
150.000000,1,1603,143,25.000000,1,1,1,0
150.000000,1,556,1755,24.000000,1,1,1,1
150.000000,1,789,1371,25.000000,0,1,-1,1
150.000000,1,1458,533,24.000000,1,1,1,0
150.000000,1,1830,561,33.000000,1,1,1,0
150.000000,1,2042,1513,35.000000,1,3,3,0
150.000000,1,1405,1015,43.000000,1,1,1,0
150.000000,1,1030,1682,24.000000,0,1,-1,1
150.000000,1,1100,817,58.000000,1,1,1,0
150.000000,1,592,1200,49.000000,0,1,-1,1
150.000000,1,848,1632,32.000000,1,1,1,1
150.000000,1,1513,1297,39.000000,1,1,1,0
150.000000,1,1651,1760,23.000000,0,1,-1,1
150.000000,1,1122,335,50.000000,1,1,1,0
150.000000,1,1058,678,33.000000,1,1,1,0
150.000000,1,1301,2189,19.000000,0,1,-1,1
150.000000,1,1032,940,40.000000,1,1,1,0
150.000000,1,413,1850,34.000000,0,1,-1,1
150.000000,1,817,615,41.000000,0,1,-1,0
150.000000,1,139,1713,34.000000,0,1,-1,1
150.000000,1,999,1011,40.000000,1,1,1,1
150.000000,1,1567,1362,30.000000,1,1,1,0
150.000000,1,775,753,26.000000,1,1,1,0
150.000000,1,925,1227,43.000000,1,1,1,1
150.000000,1,763,372,36.000000,0,1,-1,0
150.000000,1,1377,744,49.000000,0,1,-1,0
150.000000,1,1460,945,45.000000,0,1,-1,0
150.000000,1,1335,2009,32.000000,1,1,1,1
150.000000,1,2111,1341,34.000000,1,3,3,0
150.000000,1,1690,1270,70.000000,1,1,1,0
150.000000,1,1672,1309,31.000000,0,3,-3,0
150.000000,1,977,749,55.000000,0,1,-1,0
150.000000,1,1165,934,30.000000,1,1,1,0
150.000000,1,406,1439,34.000000,0,1,-1,1
150.000000,1,779,1008,35.000000,1,3,3,1
150.000000,1,1156,1392,38.000000,1,1,1,1
150.000000,1,1571,1598,28.000000,0,1,-1,1
150.000000,1,903,1726,35.000000,1,1,1,1
150.000000,1,1128,520,23.000000,1,1,1,0
150.000000,1,399,1397,35.000000,0,1,-1,1
150.000000,1,944,741,57.000000,1,1,1,0
150.000000,1,1115,2195,45.000000,0,1,-1,1
150.000000,1,1534,1575,28.000000,1,1,1,1
150.000000,1,1568,1197,32.000000,1,3,3,0
150.000000,1,1446,950,26.000000,1,1,1,0
150.000000,1,881,1796,33.000000,0,1,-1,1
150.000000,1,1216,1120,39.000000,0,1,-1,0
150.000000,1,1182,920,41.000000,0,3,-3,0
150.000000,1,533,1839,43.000000,1,1,1,1
150.000000,1,1807,1315,39.000000,1,1,1,0
150.000000,1,814,1248,28.000000,1,3,3,1
150.000000,1,1514,1779,39.000000,0,3,-3,1
150.000000,1,1651,703,47.000000,0,1,-1,0
150.000000,1,1032,921,48.000000,1,1,1,0
150.000000,1,964,1351,39.000000,0,1,-1,1
150.000000,1,1721,1574,56.000000,1,1,1,0
150.000000,1,1583,1945,22.000000,0,1,-1,1
150.000000,1,1548,924,53.000000,1,1,1,0
150.000000,1,290,1386,32.000000,0,1,-1,1
150.000000,1,1259,1191,39.000000,0,1,-1,0
150.000000,1,1423,1594,18.000000,0,1,-1,1
150.000000,1,1601,1838,52.000000,0,1,-1,1
150.000000,1,1738,1467,30.000000,0,1,-1,0
150.000000,1,736,1710,17.000000,0,1,-1,1
150.000000,1,1962,615,29.000000,1,1,1,0
150.000000,1,862,789,38.000000,0,1,-1,0
150.000000,1,1963,559,46.000000,0,1,-1,0
150.000000,1,1319,570,31.000000,1,1,1,0
150.000000,1,1457,845,32.000000,1,1,1,0
150.000000,1,559,881,41.000000,1,1,1,1
150.000000,1,934,665,37.000000,0,1,-1,0
150.000000,1,2123,1438,54.000000,0,1,-1,0
150.000000,1,1647,1576,31.000000,1,1,1,0
150.000000,1,705,837,29.000000,0,1,-1,1
150.000000,1,1347,451,44.000000,0,3,-3,0
150.000000,1,678,778,29.000000,1,1,1,1
150.000000,1,1655,712,31.000000,1,1,1,0
150.000000,1,1710,751,25.000000,0,1,-1,0
150.000000,1,963,1389,23.000000,1,1,1,1
150.000000,1,2066,697,27.000000,1,1,1,0
150.000000,1,1618,901,42.000000,0,2,-2,0
150.000000,1,1746,541,38.000000,1,1,1,0
150.000000,1,496,1177,33.000000,0,1,-1,1
150.000000,1,870,851,30.000000,0,1,-1,0
150.000000,1,1031,2109,62.000000,0,1,-1,1
150.000000,1,1330,883,27.000000,1,1,1,0
150.000000,1,1893,872,45.000000,1,1,1,0
150.000000,1,339,1089,36.000000,0,1,-1,1
150.000000,1,1926,571,46.000000,1,2,2,0
150.000000,1,1134,1437,28.000000,0,1,-1,1
150.000000,1,960,1750,39.000000,0,3,-3,1
150.000000,1,1013,434,74.000000,1,1,1,0
150.000000,1,1802,1248,31.000000,1,1,1,0
150.000000,1,963,1818,30.000000,1,1,1,1
150.000000,1,2242,612,37.000000,1,1,1,0
150.000000,1,1709,1376,32.000000,0,1,-1,0
150.000000,1,1523,639,27.000000,1,1,1,0
131.000000,2,605,3746,58.000000,0,3,-3,1
150.000000,1,2102,350,36.000000,1,1,1,0
150.000000,1,1153,1370,32.000000,0,3,-3,1
150.000000,1,530,870,35.000000,0,1,-1,1
150.000000,1,1213,590,42.000000,0,1,-1,0
150.000000,1,2132,1311,52.000000,1,1,1,0
150.000000,1,1054,522,41.000000,0,1,-1,0
150.000000,1,967,1478,29.000000,0,1,-1,1
150.000000,1,1322,306,56.000000,1,1,1,0
150.000000,1,1319,1302,39.000000,0,1,-1,0
150.000000,1,1432,637,34.000000,1,1,1,0
150.000000,1,1492,726,33.000000,1,1,1,0
150.000000,1,1867,1594,38.000000,1,1,1,0
150.000000,1,1770,718,41.000000,0,1,-1,0
150.000000,1,943,1749,40.000000,0,1,-1,1
150.000000,1,1009,1402,33.000000,1,1,1,1
150.000000,1,1771,1662,18.000000,0,1,-1,0
150.000000,1,1101,404,47.000000,1,1,1,0
150.000000,1,1219,392,34.000000,0,1,-1,0
150.000000,1,655,1292,30.000000,0,1,-1,1
150.000000,1,695,1671,30.000000,0,1,-1,1
150.000000,1,2055,725,38.000000,0,2,-2,0
150.000000,1,903,1145,33.000000,0,1,-1,1
150.000000,1,427,2191,24.000000,0,1,-1,1
150.000000,1,737,1717,44.000000,0,1,-1,1
150.000000,1,1819,1743,47.000000,0,1,-1,0
150.000000,1,1160,1451,44.000000,1,1,1,1
150.000000,1,804,923,34.000000,0,1,-1,1
150.000000,1,1354,1596,54.000000,0,1,-1,1
150.000000,1,1091,1575,27.000000,0,1,-1,1
150.000000,1,1329,1707,31.000000,0,1,-1,1
150.000000,1,1243,1251,57.000000,0,1,-1,1
150.000000,1,1626,1493,33.000000,1,1,1,0
150.000000,1,341,1820,28.000000,0,3,-3,1
150.000000,1,1125,418,39.000000,1,1,1,0
150.000000,1,1151,977,35.000000,1,1,1,0
