TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
31,6,1,8,85,0.14,0.8888888888888888,0.06593406593406594,0.8571428571428571,0.26373626373626374
32,4,1,8,87,0.12,0.8888888888888888,0.04395604395604396,0.8,0.17582417582417584
33,7,1,8,84,0.15,0.8888888888888888,0.07692307692307693,0.875,0.3076923076923077
34,6,0,9,85,0.15,1.0,0.06593406593406594,1.0,0.26373626373626374
35,6,0,9,85,0.15,1.0,0.06593406593406594,1.0,0.26373626373626374
36,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
37,4,1,8,87,0.12,0.8888888888888888,0.04395604395604396,0.8,0.17582417582417584
38,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
39,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
40,6,0,9,85,0.15,1.0,0.06593406593406594,1.0,0.26373626373626374
41,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
42,5,0,9,86,0.14,1.0,0.054945054945054944,1.0,0.21978021978021978
43,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
44,5,0,9,86,0.14,1.0,0.054945054945054944,1.0,0.21978021978021978
45,5,0,9,86,0.14,1.0,0.054945054945054944,1.0,0.21978021978021978
46,2,1,8,89,0.1,0.8888888888888888,0.02197802197802198,0.6666666666666666,0.08791208791208792
47,5,0,9,86,0.14,1.0,0.054945054945054944,1.0,0.21978021978021978
48,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
49,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
50,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
51,2,0,9,89,0.11,1.0,0.02197802197802198,1.0,0.08791208791208792
52,1,1,8,90,0.09,0.8888888888888888,0.01098901098901099,0.5,0.04395604395604396
53,2,1,8,89,0.1,0.8888888888888888,0.02197802197802198,0.6666666666666666,0.08791208791208792
54,3,1,8,88,0.11,0.8888888888888888,0.03296703296703297,0.75,0.13186813186813187
55,1,0,9,90,0.1,1.0,0.01098901098901099,1.0,0.04395604395604396
56,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
57,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
58,2,0,9,89,0.11,1.0,0.02197802197802198,1.0,0.08791208791208792
59,2,0,9,89,0.11,1.0,0.02197802197802198,1.0,0.08791208791208792
60,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
61,1,0,9,90,0.1,1.0,0.01098901098901099,1.0,0.04395604395604396
62,0,0,9,91,0.09,1.0,0.0,0,0
63,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
64,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
65,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
66,1,0,9,90,0.1,1.0,0.01098901098901099,1.0,0.04395604395604396
67,2,0,9,89,0.11,1.0,0.02197802197802198,1.0,0.08791208791208792
68,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
69,1,0,9,90,0.1,1.0,0.01098901098901099,1.0,0.04395604395604396
70,1,0,9,90,0.1,1.0,0.01098901098901099,1.0,0.04395604395604396
71,3,0,9,88,0.12,1.0,0.03296703296703297,1.0,0.13186813186813187
72,5,0,9,86,0.14,1.0,0.054945054945054944,1.0,0.21978021978021978
73,6,0,9,85,0.15,1.0,0.06593406593406594,1.0,0.26373626373626374
74,6,0,9,85,0.15,1.0,0.06593406593406594,1.0,0.26373626373626374
75,4,0,9,87,0.13,1.0,0.04395604395604396,1.0,0.17582417582417584
76,6,0,9,85,0.15,1.0,0.06593406593406594,1.0,0.26373626373626374
77,9,0,9,82,0.18,1.0,0.0989010989010989,1.0,0.3956043956043956
78,9,0,9,82,0.18,1.0,0.0989010989010989,1.0,0.3956043956043956
79,10,0,9,81,0.19,1.0,0.10989010989010989,1.0,0.43956043956043955
80,9,0,9,82,0.18,1.0,0.0989010989010989,1.0,0.3956043956043956
81,11,0,9,80,0.2,1.0,0.12087912087912088,1.0,0.4835164835164835
82,11,0,9,80,0.2,1.0,0.12087912087912088,1.0,0.4835164835164835
83,9,0,9,82,0.18,1.0,0.0989010989010989,1.0,0.3956043956043956
84,9,0,9,82,0.18,1.0,0.0989010989010989,1.0,0.3956043956043956
85,10,0,9,81,0.19,1.0,0.10989010989010989,1.0,0.43956043956043955
86,21,0,8,70,0.29292929292929293,1.0,0.23076923076923078,1.0,0.9230769230769231
87,21,0,8,70,0.29292929292929293,1.0,0.23076923076923078,1.0,0.9230769230769231
88,23,0,7,68,0.30612244897959184,1.0,0.25274725274725274,1.0,1.010989010989011
89,23,0,7,68,0.30612244897959184,1.0,0.25274725274725274,1.0,1.010989010989011
90,23,0,7,68,0.30612244897959184,1.0,0.25274725274725274,1.0,1.010989010989011
91,17,0,7,74,0.24489795918367346,1.0,0.18681318681318682,1.0,0.7472527472527473
92,16,0,7,75,0.23469387755102042,1.0,0.17582417582417584,1.0,0.7032967032967034
93,18,0,7,73,0.25510204081632654,1.0,0.1978021978021978,1.0,0.7912087912087912
94,18,0,7,73,0.25510204081632654,1.0,0.1978021978021978,1.0,0.7912087912087912
95,21,0,7,70,0.2857142857142857,1.0,0.23076923076923078,1.0,0.9230769230769231
96,29,0,7,62,0.3673469387755102,1.0,0.31868131868131866,1.0,1.2747252747252746
97,30,0,6,61,0.3711340206185567,1.0,0.32967032967032966,1.0,1.3186813186813187
98,30,0,5,61,0.3645833333333333,1.0,0.32967032967032966,1.0,1.3186813186813187
99,29,0,5,62,0.3541666666666667,1.0,0.31868131868131866,1.0,1.2747252747252746
100,30,0,5,61,0.3645833333333333,1.0,0.32967032967032966,1.0,1.3186813186813187
101,36,0,5,55,0.4270833333333333,1.0,0.3956043956043956,1.0,1.5824175824175823
102,30,0,4,61,0.35789473684210527,1.0,0.32967032967032966,1.0,1.3186813186813187
103,29,0,4,62,0.3473684210526316,1.0,0.31868131868131866,1.0,1.2747252747252746
104,26,0,4,65,0.3157894736842105,1.0,0.2857142857142857,1.0,1.1428571428571428
105,28,0,4,63,0.3368421052631579,1.0,0.3076923076923077,1.0,1.2307692307692308
106,32,0,3,59,0.3723404255319149,1.0,0.3516483516483517,1.0,1.4065934065934067
107,33,0,3,58,0.3829787234042553,1.0,0.3626373626373626,1.0,1.4505494505494505
108,33,0,3,58,0.3829787234042553,1.0,0.3626373626373626,1.0,1.4505494505494505
109,37,0,3,54,0.425531914893617,1.0,0.4065934065934066,1.0,1.6263736263736264
110,39,0,3,52,0.44680851063829785,1.0,0.42857142857142855,1.0,1.7142857142857142
111,33,0,3,58,0.3829787234042553,1.0,0.3626373626373626,1.0,1.4505494505494505
112,35,0,3,56,0.40425531914893614,1.0,0.38461538461538464,1.0,1.5384615384615385
113,36,0,3,55,0.4148936170212766,1.0,0.3956043956043956,1.0,1.5824175824175823
114,35,0,3,56,0.40425531914893614,1.0,0.38461538461538464,1.0,1.5384615384615385
115,40,0,3,51,0.4574468085106383,1.0,0.43956043956043955,1.0,1.7582417582417582
116,52,0,2,39,0.5806451612903226,1.0,0.5714285714285714,1.0,2.2857142857142856
