TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,F2Score
65,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
66,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
67,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
68,0,3,86,11,0.86,0.9662921348314607,0.0,0.0,0
69,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
70,0,1,88,11,0.88,0.9887640449438202,0.0,0.0,0
71,0,0,89,11,0.89,1.0,0.0,0,0
72,0,0,89,11,0.89,1.0,0.0,0,0
73,0,2,87,11,0.87,0.9775280898876404,0.0,0.0,0
74,0,3,86,11,0.86,0.9662921348314607,0.0,0.0,0
75,1,2,86,10,0.8787878787878788,0.9772727272727273,0.09090909090909091,0.3333333333333333,0.36363636363636365
76,3,3,83,8,0.8865979381443299,0.9651162790697675,0.2727272727272727,0.5,1.0909090909090908
77,2,4,80,9,0.8631578947368421,0.9523809523809523,0.18181818181818182,0.3333333333333333,0.7272727272727273
78,2,5,78,9,0.851063829787234,0.9397590361445783,0.18181818181818182,0.2857142857142857,0.7272727272727273
79,3,3,78,8,0.8804347826086957,0.9629629629629629,0.2727272727272727,0.5,1.0909090909090908
80,3,0,80,8,0.9120879120879121,1.0,0.2727272727272727,1.0,1.0909090909090908
81,2,3,77,9,0.8681318681318682,0.9625,0.18181818181818182,0.4,0.7272727272727273
82,2,2,76,9,0.8764044943820225,0.9743589743589743,0.18181818181818182,0.5,0.7272727272727273
83,3,1,75,8,0.896551724137931,0.9868421052631579,0.2727272727272727,0.75,1.0909090909090908
84,5,1,72,6,0.9166666666666666,0.9863013698630136,0.45454545454545453,0.8333333333333334,1.8181818181818181
85,4,1,53,7,0.8769230769230769,0.9814814814814815,0.36363636363636365,0.8,1.4545454545454546
86,2,2,47,9,0.8166666666666667,0.9591836734693877,0.18181818181818182,0.5,0.7272727272727273
87,3,1,41,8,0.8301886792452831,0.9761904761904762,0.2727272727272727,0.75,1.0909090909090908
88,2,0,38,9,0.8163265306122449,1.0,0.18181818181818182,1.0,0.7272727272727273
89,3,0,32,8,0.813953488372093,1.0,0.2727272727272727,1.0,1.0909090909090908
90,3,0,27,8,0.7894736842105263,1.0,0.2727272727272727,1.0,1.0909090909090908
91,1,1,20,10,0.65625,0.9523809523809523,0.09090909090909091,0.5,0.36363636363636365
92,1,1,13,10,0.56,0.9285714285714286,0.09090909090909091,0.5,0.36363636363636365
93,1,1,9,10,0.47619047619047616,0.9,0.09090909090909091,0.5,0.36363636363636365
94,1,1,7,10,0.42105263157894735,0.875,0.09090909090909091,0.5,0.36363636363636365
95,1,1,6,10,0.3888888888888889,0.8571428571428571,0.09090909090909091,0.5,0.36363636363636365
96,3,0,7,8,0.5555555555555556,1.0,0.2727272727272727,1.0,1.0909090909090908
97,3,0,7,8,0.5555555555555556,1.0,0.2727272727272727,1.0,1.0909090909090908
98,3,0,3,8,0.42857142857142855,1.0,0.2727272727272727,1.0,1.0909090909090908
99,3,0,2,8,0.38461538461538464,1.0,0.2727272727272727,1.0,1.0909090909090908
100,3,0,2,8,0.38461538461538464,1.0,0.2727272727272727,1.0,1.0909090909090908
101,5,0,1,6,0.5,1.0,0.45454545454545453,1.0,1.8181818181818181
102,5,0,1,6,0.5,1.0,0.45454545454545453,1.0,1.8181818181818181
103,6,0,1,5,0.5833333333333334,1.0,0.5454545454545454,1.0,2.1818181818181817
104,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
105,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
106,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
107,7,0,0,4,0.6363636363636364,1,0.6363636363636364,1.0,2.5454545454545454
108,7,0,0,4,0.6363636363636364,1,0.6363636363636364,1.0,2.5454545454545454
109,8,0,0,3,0.7272727272727273,1,0.7272727272727273,1.0,2.909090909090909
110,8,0,0,3,0.7272727272727273,1,0.7272727272727273,1.0,2.909090909090909
111,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
112,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
113,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
114,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
115,6,0,0,5,0.5454545454545454,1,0.5454545454545454,1.0,2.1818181818181817
116,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
117,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
118,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
119,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
120,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
121,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
122,9,0,0,2,0.8181818181818182,1,0.8181818181818182,1.0,3.272727272727273
123,8,0,0,3,0.7272727272727273,1,0.7272727272727273,1.0,2.909090909090909
124,8,0,0,3,0.7272727272727273,1,0.7272727272727273,1.0,2.909090909090909
125,8,0,0,3,0.7272727272727273,1,0.7272727272727273,1.0,2.909090909090909
126,11,0,0,0,1.0,1,1.0,1.0,4.0
127,11,0,0,0,1.0,1,1.0,1.0,4.0
128,11,0,0,0,1.0,1,1.0,1.0,4.0
129,11,0,0,0,1.0,1,1.0,1.0,4.0
130,11,0,0,0,1.0,1,1.0,1.0,4.0
131,11,0,0,0,1.0,1,1.0,1.0,4.0
132,11,0,0,0,1.0,1,1.0,1.0,4.0
133,11,0,0,0,1.0,1,1.0,1.0,4.0
134,11,0,0,0,1.0,1,1.0,1.0,4.0
135,11,0,0,0,1.0,1,1.0,1.0,4.0
136,11,0,0,0,1.0,1,1.0,1.0,4.0
137,11,0,0,0,1.0,1,1.0,1.0,4.0
138,11,0,0,0,1.0,1,1.0,1.0,4.0
139,11,0,0,0,1.0,1,1.0,1.0,4.0
140,11,0,0,0,1.0,1,1.0,1.0,4.0
141,11,0,0,0,1.0,1,1.0,1.0,4.0
142,11,0,0,0,1.0,1,1.0,1.0,4.0
143,11,0,0,0,1.0,1,1.0,1.0,4.0
144,11,0,0,0,1.0,1,1.0,1.0,4.0
145,11,0,0,0,1.0,1,1.0,1.0,4.0
146,11,0,0,0,1.0,1,1.0,1.0,4.0
147,11,0,0,0,1.0,1,1.0,1.0,4.0
148,11,0,0,0,1.0,1,1.0,1.0,4.0
149,11,0,0,0,1.0,1,1.0,1.0,4.0
150,11,0,0,0,1.0,1,1.0,1.0,4.0
