numberOfTurns,winType,player_0,player_1,unitLossTurn,unitLostPlayer,unitLostType,combinedStat,winner
150.000000,1,615,1392,95.000000,1,1,1,1
150.000000,1,578,1100,52.000000,1,1,1,1
150.000000,1,718,2301,49.000000,1,1,1,1
150.000000,1,812,740,24.000000,1,1,1,0
150.000000,1,990,814,28.000000,1,1,1,0
150.000000,1,926,759,41.000000,1,3,3,0
150.000000,1,1320,888,24.000000,1,1,1,0
135.000000,2,2376,1290,31.000000,1,1,1,0
150.000000,1,476,1423,54.000000,1,3,3,1
150.000000,1,621,739,24.000000,1,1,1,1
150.000000,1,723,1956,67.000000,1,1,1,1
150.000000,1,503,1102,35.000000,1,1,1,1
150.000000,1,679,1098,33.000000,1,1,1,1
150.000000,1,780,1157,48.000000,1,1,1,1
150.000000,1,555,946,34.000000,1,1,1,1
150.000000,1,1736,1725,33.000000,1,3,3,0
150.000000,1,996,550,43.000000,1,1,1,0
150.000000,1,1008,1155,24.000000,1,1,1,1
150.000000,1,1253,444,35.000000,1,3,3,0
150.000000,1,1525,2243,25.000000,1,1,1,1
150.000000,1,903,1431,45.000000,1,3,3,1
150.000000,1,496,1796,49.000000,1,1,1,1
150.000000,1,797,1464,35.000000,1,2,2,1
150.000000,1,1180,663,39.000000,1,1,1,0
150.000000,1,767,1370,42.000000,1,1,1,1
150.000000,1,618,884,32.000000,1,3,3,1
150.000000,1,312,1427,41.000000,1,1,1,1
150.000000,1,674,1340,32.000000,1,2,2,1
150.000000,1,538,2224,42.000000,1,1,1,1
150.000000,1,624,2049,53.000000,0,1,-1,1
150.000000,1,683,521,30.000000,1,1,1,0
150.000000,1,731,1178,33.000000,1,1,1,1
150.000000,1,550,2256,43.000000,1,1,1,1
150.000000,1,520,1728,56.000000,1,3,3,1
120.000000,2,2720,1136,43.000000,1,1,1,0
150.000000,1,366,1320,28.000000,1,1,1,1
150.000000,1,475,2157,50.000000,1,1,1,1
150.000000,1,2093,1250,28.000000,1,1,1,0
150.000000,1,780,906,61.000000,1,2,2,1
150.000000,1,1087,1008,40.000000,1,1,1,0
150.000000,1,208,2186,55.000000,1,3,3,1
150.000000,1,871,1191,29.000000,1,1,1,1
150.000000,1,480,1972,32.000000,1,2,2,1
150.000000,1,944,974,24.000000,1,1,1,1
150.000000,1,379,1725,57.000000,1,1,1,1
150.000000,1,412,1490,38.000000,1,1,1,1
150.000000,1,784,1152,32.000000,1,1,1,1
150.000000,1,754,606,37.000000,1,1,1,0
149.000000,2,448,3612,28.000000,1,1,1,1
121.000000,2,2783,981,28.000000,1,1,1,0
150.000000,1,238,1841,43.000000,1,1,1,1
150.000000,1,832,1128,17.000000,1,1,1,1
150.000000,1,557,2254,24.000000,1,1,1,1
150.000000,1,892,1170,24.000000,1,1,1,1
150.000000,1,568,2024,32.000000,1,1,1,1
150.000000,1,444,1561,43.000000,1,1,1,1
150.000000,1,624,1391,28.000000,1,1,1,1
150.000000,1,717,1363,31.000000,1,1,1,1
150.000000,1,337,1176,24.000000,1,1,1,1
150.000000,1,1377,501,24.000000,1,1,1,0
