numberOfTurns,winType,player_1,player_2,groupLossTurn,groupLostPlayer,groupLostUnitType,combinedStat,winner
81.000000,2,3292,1153,26.000000,1,3,3,0
92.000000,2,2298,1368,27.000000,0,1,-1,0
84.000000,2,3212,1160,27.000000,1,3,3,0
92.000000,2,2750,1505,26.000000,0,1,-1,0
98.000000,2,2476,1661,25.000000,0,1,-1,0
81.000000,2,2436,1370,51.000000,0,1,-1,0
150.000000,1,941,2240,13.000000,1,1,1,1
85.000000,2,2561,1772,27.000000,0,1,-1,0
72.000000,2,2468,1299,50.000000,1,1,1,0
86.000000,2,2488,1383,33.000000,0,1,-1,0
86.000000,2,3112,1433,33.000000,0,1,-1,0
83.000000,2,2499,1328,26.000000,1,3,3,0
85.000000,2,3068,1731,12.000000,1,1,1,0
84.000000,2,2504,1457,25.000000,1,1,1,0
85.000000,2,2423,1534,29.000000,1,2,2,0
91.000000,2,2242,1128,33.000000,0,1,-1,0
94.000000,2,2518,1403,30.000000,0,1,-1,0
150.000000,1,1593,1426,28.000000,1,3,3,0
91.000000,2,3068,1567,28.000000,0,1,-1,0
73.000000,2,2741,1060,26.000000,1,3,3,0
83.000000,2,2520,1092,33.000000,1,1,1,0
88.000000,2,3268,1376,26.000000,0,1,-1,0
72.000000,2,2911,1276,12.000000,1,1,1,0
82.000000,2,2418,1566,28.000000,1,3,3,0
150.000000,1,1654,2236,35.000000,0,1,-1,1
83.000000,2,2524,1674,25.000000,1,1,1,0
78.000000,2,3169,1268,35.000000,1,1,1,0
88.000000,2,2468,1084,12.000000,1,1,1,0
94.000000,2,2368,1208,26.000000,0,1,-1,0
76.000000,2,3160,1366,13.000000,1,1,1,0
77.000000,2,2418,1276,26.000000,1,1,1,0
82.000000,2,2540,1277,30.000000,1,2,2,0
150.000000,1,1618,1231,28.000000,1,3,3,0
150.000000,1,1562,1241,33.000000,1,1,1,0
100.000000,2,2456,1565,27.000000,0,1,-1,0
79.000000,2,2875,1134,24.000000,1,1,1,0
150.000000,1,848,2284,33.000000,0,1,-1,1
95.000000,2,2112,1747,28.000000,0,1,-1,0
85.000000,2,2345,1387,29.000000,0,1,-1,0
89.000000,2,2387,1334,32.000000,0,1,-1,0
77.000000,2,2599,1407,28.000000,1,1,1,0
95.000000,2,2455,1136,34.000000,0,1,-1,0
150.000000,1,345,2457,26.000000,1,3,3,1
150.000000,1,1536,2252,25.000000,1,1,1,1
96.000000,2,2088,1428,28.000000,0,1,-1,0
90.000000,2,2352,1317,12.000000,1,1,1,0
81.000000,2,2641,1533,25.000000,1,1,1,0
78.000000,2,2592,1554,30.000000,1,2,2,0
84.000000,2,2364,1663,33.000000,1,1,1,0
77.000000,2,3190,1483,27.000000,1,1,1,0
104.000000,2,2461,1855,26.000000,0,1,-1,0
84.000000,2,3268,1525,26.000000,1,1,1,0
86.000000,2,2556,1269,31.000000,1,3,3,0
150.000000,1,1573,1115,32.000000,1,3,3,0
88.000000,2,2477,1451,28.000000,1,2,2,0
150.000000,1,1551,2077,26.000000,1,1,1,1
92.000000,2,2380,1488,12.000000,1,1,1,0
95.000000,2,2204,1570,23.000000,0,1,-1,0
91.000000,2,2572,1312,24.000000,0,1,-1,0
92.000000,2,3068,1440,25.000000,0,1,-1,0
77.000000,2,2439,1337,30.000000,1,3,3,0
82.000000,2,2505,1569,17.000000,1,1,1,0
81.000000,2,3200,1136,27.000000,1,2,2,0
77.000000,2,2523,1535,31.000000,1,3,3,0
150.000000,1,1520,2092,37.000000,0,1,-1,1
88.000000,2,2654,1180,29.000000,0,1,-1,0
86.000000,2,3192,1467,27.000000,1,3,3,0
91.000000,2,3068,1383,34.000000,0,1,-1,0
89.000000,2,2431,1200,28.000000,1,3,3,0
86.000000,2,2464,1528,30.000000,0,1,-1,0
87.000000,2,2520,1600,32.000000,0,1,-1,0
89.000000,2,2120,1321,30.000000,0,1,-1,0
83.000000,2,2514,1098,28.000000,1,2,2,0
87.000000,2,3219,1464,28.000000,1,1,1,0
78.000000,2,2546,1592,48.000000,1,1,1,0
96.000000,2,2512,1560,27.000000,0,1,-1,0
86.000000,2,2420,1278,18.000000,1,1,1,0
150.000000,1,1300,1004,39.000000,0,1,-1,0
150.000000,1,928,2297,34.000000,1,2,2,1
88.000000,2,3068,1615,29.000000,0,1,-1,0
75.000000,2,3438,1088,30.000000,1,3,3,0
96.000000,2,2176,1529,28.000000,0,1,-1,0
88.000000,2,2184,1592,29.000000,1,1,1,0
77.000000,2,2469,1472,28.000000,1,2,2,0
91.000000,2,3268,1655,28.000000,0,1,-1,0
93.000000,2,2464,1477,29.000000,0,1,-1,0
85.000000,2,2484,1400,24.000000,0,1,-1,0
75.000000,2,3196,1295,60.000000,1,1,1,0
77.000000,2,2453,1676,30.000000,1,2,2,0
92.000000,2,2572,1092,27.000000,1,3,3,0
87.000000,2,2116,1268,26.000000,0,1,-1,0
76.000000,2,3256,1152,28.000000,1,1,1,0
77.000000,2,2433,1558,28.000000,1,3,3,0
150.000000,1,674,1129,39.000000,0,1,-1,1
85.000000,2,2564,1533,28.000000,0,1,-1,0
84.000000,2,2612,1679,12.000000,1,1,1,0
85.000000,2,2496,1477,32.000000,0,1,-1,0
97.000000,2,2258,1354,35.000000,0,1,-1,0
89.000000,2,3268,1676,27.000000,0,1,-1,0
87.000000,2,2265,1293,28.000000,1,2,2,0
90.000000,2,2724,1143,25.000000,0,1,-1,0
85.000000,2,2712,1184,30.000000,1,3,3,0
90.000000,2,2220,1293,31.000000,1,2,2,0
85.000000,2,2271,1399,25.000000,1,1,1,0
85.000000,2,2604,1676,24.000000,0,1,-1,0
74.000000,2,2623,1501,31.000000,1,3,3,0
90.000000,2,2575,1060,28.000000,1,1,1,0
150.000000,1,796,1228,28.000000,1,3,3,1
75.000000,2,2552,1292,24.000000,1,1,1,0
89.000000,2,2334,1312,29.000000,0,1,-1,0
88.000000,2,2440,1453,27.000000,0,1,-1,0
96.000000,2,2318,1502,31.000000,0,1,-1,0
88.000000,2,2548,1108,32.000000,1,1,1,0
89.000000,2,2612,1295,27.000000,1,2,2,0
83.000000,2,2464,1513,42.000000,0,1,-1,0
86.000000,2,2648,1104,34.000000,1,3,3,0
88.000000,2,3268,1224,23.000000,1,1,1,0
87.000000,2,2595,1104,25.000000,0,1,-1,0
97.000000,2,3068,1772,25.000000,0,1,-1,0
77.000000,2,3400,1052,17.000000,1,1,1,0
75.000000,2,2772,1676,27.000000,1,1,1,0
85.000000,2,3132,1477,28.000000,0,1,-1,0
150.000000,1,1119,2050,19.000000,1,1,1,1
82.000000,2,2719,1468,26.000000,1,3,3,0
92.000000,2,2448,1318,17.000000,1,1,1,0
150.000000,1,772,2274,29.000000,1,1,1,1
89.000000,2,2609,1536,29.000000,0,1,-1,0
150.000000,1,1356,2267,40.000000,0,1,-1,1
85.000000,2,2192,1106,54.000000,1,2,2,0
88.000000,2,2664,1100,28.000000,1,3,3,0
80.000000,2,2089,1186,26.000000,1,1,1,0
90.000000,2,2580,1334,42.000000,0,1,-1,0
82.000000,2,2412,1682,33.000000,1,1,1,0
150.000000,1,966,1094,30.000000,1,3,3,1
89.000000,2,2460,1315,24.000000,0,1,-1,0
101.000000,2,2492,1352,26.000000,0,1,-1,0
150.000000,1,706,1172,37.000000,0,1,-1,1
75.000000,2,3314,1114,16.000000,1,1,1,0
88.000000,2,2672,1139,27.000000,0,1,-1,0
85.000000,2,2578,993,28.000000,1,1,1,0
78.000000,2,2709,984,26.000000,1,1,1,0
87.000000,2,3276,1363,14.000000,1,1,1,0
87.000000,2,2472,989,28.000000,0,1,-1,0
85.000000,2,2527,1361,27.000000,1,1,1,0
88.000000,2,2480,1250,25.000000,0,1,-1,0
150.000000,1,1362,2043,39.000000,0,1,-1,1
85.000000,2,2352,1688,29.000000,0,1,-1,0
83.000000,2,2504,1148,30.000000,1,3,3,0
94.000000,2,3132,1542,31.000000,0,1,-1,0
150.000000,1,1035,2252,28.000000,1,1,1,1
90.000000,2,2397,1185,31.000000,0,1,-1,0
93.000000,2,2165,1529,31.000000,0,1,-1,0
87.000000,2,2449,1524,15.000000,1,1,1,0
92.000000,2,2432,1430,26.000000,1,1,1,0
93.000000,2,2375,1366,28.000000,0,1,-1,0
82.000000,2,2502,948,37.000000,0,1,-1,0
89.000000,2,2604,1321,35.000000,1,3,3,0
85.000000,2,2604,1267,25.000000,0,1,-1,0
90.000000,2,2752,1401,28.000000,0,1,-1,0
87.000000,2,2528,1648,25.000000,0,1,-1,0
75.000000,2,2648,1101,26.000000,1,2,2,0
75.000000,2,2772,1068,26.000000,1,1,1,0
150.000000,1,1544,2252,28.000000,1,1,1,1
85.000000,2,2644,1176,32.000000,0,1,-1,0
150.000000,1,1550,1053,33.000000,0,1,-1,0
85.000000,2,2572,1248,12.000000,1,1,1,0
85.000000,2,2166,1455,27.000000,0,1,-1,0
92.000000,2,3124,1644,26.000000,1,1,1,0
73.000000,2,3174,1370,25.000000,1,1,1,0
85.000000,2,2332,1398,27.000000,0,1,-1,0
87.000000,2,2578,1324,30.000000,0,1,-1,0
86.000000,2,3088,1546,27.000000,1,1,1,0
89.000000,2,2232,1275,29.000000,0,1,-1,0
