TurnNumber,TruePositive,FalsePositive,TrueNegative,FalseNegative,Accuracy,Specificity,Sensitivity,Precesion,FScore
122,41,13,30,16,0.71,0.697674419,0.719298246,0.759259259,2.877192982
123,43,11,32,14,0.75,0.744186047,0.754385965,0.796296296,3.01754386
124,41,10,33,16,0.74,0.76744186,0.719298246,0.803921569,2.877192982
125,45,11,32,12,0.77,0.744186047,0.789473684,0.803571429,3.157894737
126,45,10,33,12,0.78,0.76744186,0.789473684,0.818181818,3.157894737
127,45,10,33,12,0.78,0.76744186,0.789473684,0.818181818,3.157894737
128,44,12,31,13,0.75,0.720930233,0.771929825,0.785714286,3.087719298
129,43,12,31,14,0.74,0.720930233,0.754385965,0.781818182,3.01754386
130,44,12,31,13,0.75,0.720930233,0.771929825,0.785714286,3.087719298
131,38,8,35,19,0.73,0.813953488,0.666666667,0.826086957,2.666666667
132,41,7,36,16,0.77,0.837209302,0.719298246,0.854166667,2.877192982
133,39,7,36,18,0.75,0.837209302,0.684210526,0.847826087,2.736842105
134,40,6,37,17,0.77,0.860465116,0.701754386,0.869565217,2.807017544
135,35,6,37,22,0.72,0.860465116,0.614035088,0.853658537,2.456140351
136,45,10,33,12,0.78,0.76744186,0.789473684,0.818181818,3.157894737
137,46,10,33,11,0.79,0.76744186,0.807017544,0.821428571,3.228070175
138,45,9,34,12,0.79,0.790697674,0.789473684,0.833333333,3.157894737
139,45,9,34,12,0.79,0.790697674,0.789473684,0.833333333,3.157894737
140,48,8,35,9,0.83,0.813953488,0.842105263,0.857142857,3.368421053
141,46,6,37,11,0.83,0.860465116,0.807017544,0.884615385,3.228070175
142,48,6,37,9,0.85,0.860465116,0.842105263,0.888888889,3.368421053
143,47,6,37,10,0.84,0.860465116,0.824561404,0.886792453,3.298245614
144,49,6,37,8,0.86,0.860465116,0.859649123,0.890909091,3.438596491
145,50,5,38,7,0.88,0.88372093,0.877192982,0.909090909,3.50877193
146,50,4,39,7,0.89,0.906976744,0.877192982,0.925925926,3.50877193
147,52,4,39,5,0.91,0.906976744,0.912280702,0.928571429,3.649122807
148,52,4,39,5,0.91,0.906976744,0.912280702,0.928571429,3.649122807
149,54,3,40,3,0.94,0.930232558,0.947368421,0.947368421,3.789473684
150,54,1,42,3,0.96,0.976744186,0.947368421,0.981818182,3.789473684
